"Data set title: Christopher B. Craft. 2024. Percent cover measurements of four site-dominant species from the GCE-LTER Seawater Addition Long-Term Experiment (SALTEx) Project. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCED-2404; /data/PLT-GCED-2404)",,,,
,,,,,
"Date","Treatment","Replicate","Percent_Cover","Species"
2016-07-13,"Freshwater addition",4,0,"Pontederia cordata"
2016-07-13,"Freshwater addition",5,50,"Pontederia cordata"
2016-07-13,"Freshwater addition",6,70,"Pontederia cordata"
2016-07-13,"Press of saline water",1,5,"Pontederia cordata"
2016-07-13,"Press of saline water",2,0,"Pontederia cordata"
2016-07-13,"Press of saline water",3,45,"Pontederia cordata"
2016-07-13,"Press of saline water",4,0,"Pontederia cordata"
2016-07-13,"Press of saline water",5,0,"Pontederia cordata"
2016-07-13,"Press of saline water",6,10,"Pontederia cordata"
2016-07-13,"Pulse of saline water",1,20,"Pontederia cordata"
2016-07-13,"Pulse of saline water",2,20,"Pontederia cordata"
2016-07-13,"Pulse of saline water",3,40,"Pontederia cordata"
2016-07-13,"Pulse of saline water",4,70,"Pontederia cordata"
2016-07-13,"Pulse of saline water",5,60,"Pontederia cordata"
2016-07-13,"Pulse of saline water",6,40,"Pontederia cordata"
2017-07-07,"Control",1,40,"Pontederia cordata"
2017-07-07,"Control ",2,5,"Pontederia cordata"
2017-07-07,"Control",3,35,"Pontederia cordata"
2017-07-07,"Control",4,70,"Pontederia cordata"
2017-07-07,"Control ",5,2,"Pontederia cordata"
2017-07-07,"Control",6,35,"Pontederia cordata"
2017-07-07,"Control with frame",1,50,"Pontederia cordata"
2017-07-07,"Control with frame",2,40,"Pontederia cordata"
2017-07-07,"Control with frame",3,50,"Pontederia cordata"
2017-07-07,"Control with frame",4,20,"Pontederia cordata"
2017-07-07,"Control with frame",5,40,"Pontederia cordata"
2017-07-07,"Control with frame",6,70,"Pontederia cordata"
2017-07-07,"Control with frame",7,0,"Pontederia cordata"
2017-07-07,"Freshwater addition",1,20,"Pontederia cordata"
2017-07-07,"Freshwater addition",2,20,"Pontederia cordata"
2017-07-07,"Freshwater addition",3,25,"Pontederia cordata"
2017-07-07,"Freshwater addition",4,10,"Pontederia cordata"
2017-07-07,"Freshwater addition",5,70,"Pontederia cordata"
2017-07-07,"Freshwater addition",6,65,"Pontederia cordata"
2017-07-07,"Press of saline water",1,10,"Pontederia cordata"
2017-07-07,"Press of saline water",2,0,"Pontederia cordata"
2017-07-07,"Press of saline water",3,35,"Pontederia cordata"
2017-07-07,"Press of saline water",4,0,"Pontederia cordata"
2017-07-07,"Press of saline water",5,0,"Pontederia cordata"
2017-07-07,"Press of saline water",6,3,"Pontederia cordata"
2017-07-07,"Pulse of saline water",1,40,"Pontederia cordata"
2017-07-07,"Pulse of saline water",2,10,"Pontederia cordata"
2017-07-07,"Pulse of saline water",3,20,"Pontederia cordata"
2017-07-07,"Pulse of saline water",4,75,"Pontederia cordata"
2017-07-07,"Pulse of saline water",5,40,"Pontederia cordata"
2017-07-07,"Pulse of saline water",6,25,"Pontederia cordata"
2018-07-17,"Control",1,20,"Pontederia cordata"
2018-07-17,"Control",2,5,"Pontederia cordata"
2018-07-20,"Control",3,40,"Pontederia cordata"
2018-07-20,"Control",4,20,"Pontederia cordata"
2018-07-17,"Control",5,5,"Pontederia cordata"
2018-07-25,"Control",6,40,"Pontederia cordata"
2018-07-17,"Control with frame",1,40,"Pontederia cordata"
2018-07-17,"Control with frame",4,10,"Pontederia cordata"
2018-07-20,"Control with frame",5,10,"Pontederia cordata"
2018-07-20,"Control with frame",6,30,"Pontederia cordata"
2018-07-17,"Control with frame",7,10,"Pontederia cordata"
2018-07-17,"Control with frame",8,20,"Pontederia cordata"
2018-07-17,"Control with frame",9,40,"Pontederia cordata"
2018-07-20,"Freshwater addition",2,20,"Pontederia cordata"
2018-07-17,"Freshwater addition",3,10,"Pontederia cordata"
2018-07-17,"Freshwater addition",4,10,"Pontederia cordata"
2018-07-25,"Freshwater addition",5,30,"Pontederia cordata"
2018-07-20,"Freshwater addition",6,40,"Pontederia cordata"
2018-07-17,"Freshwater addition",7,20,"Pontederia cordata"
2018-07-20,"Pulse of saline addition",1,10,"Pontederia cordata"
2018-07-17,"Pulse of saline addition",2,5,"Pontederia cordata"
2018-07-20,"Pulse of saline addition",3,20,"Pontederia cordata"
2018-07-25,"Pulse of saline addition",4,20,"Pontederia cordata"
2018-07-25,"Pulse of saline addition",5,20,"Pontederia cordata"
2018-07-20,"Pulse of saline addition",6,10,"Pontederia cordata"
2018-07-20,"Press of saline addition",3,30,"Pontederia cordata"
2018-07-20,"Press of saline addition",4,1,"Pontederia cordata"
2018-07-20,"Press of saline addition",5,30,"Pontederia cordata"
2018-07-20,"Press of saline addition",6,30,"Pontederia cordata"
2018-07-17,"Press of saline addition",7,1,"Pontederia cordata"
2018-07-20,"Press of saline addition",8,1,"Pontederia cordata"
2019-07-24,"Press of saline addition",3,40,"Pontederia cordata"
2019-07-24,"Press of saline addition",4,5,"Pontederia cordata"
2019-07-24,"Press of saline addition",5,15,"Pontederia cordata"
2019-07-24,"Press of saline addition",6,40,"Pontederia cordata"
2019-07-24,"Press of saline addition",7,5,"Pontederia cordata"
2019-07-24,"Press of saline addition",8,10,"Pontederia cordata"
2019-07-24,"Pulse of saline addition",1,10,"Pontederia cordata"
2019-07-24,"Pulse of saline addition",2,5,"Pontederia cordata"
2019-07-24,"Pulse of saline addition",3,30,"Pontederia cordata"
2019-07-24,"Pulse of saline addition",4,55,"Pontederia cordata"
2019-07-24,"Pulse of saline addition",5,25,"Pontederia cordata"
2019-07-24,"Pulse of saline addition",6,20,"Pontederia cordata"
2019-07-24,"Freshwater addition",2,30,"Pontederia cordata"
2019-07-24,"Freshwater addition",3,5,"Pontederia cordata"
2019-07-24,"Freshwater addition",4,10,"Pontederia cordata"
2019-07-24,"Freshwater addition",5,35,"Pontederia cordata"
2019-07-24,"Freshwater addition",6,30,"Pontederia cordata"
2019-07-24,"Freshwater addition",7,25,"Pontederia cordata"
2019-07-24,"Control",1,50,"Pontederia cordata"
2019-07-24,"Control",2,20,"Pontederia cordata"
2019-07-24,"Control",3,40,"Pontederia cordata"
2019-07-24,"Control",4,20,"Pontederia cordata"
2019-07-24,"Control",5,10,"Pontederia cordata"
2019-07-24,"Control",6,40,"Pontederia cordata"
2019-07-24,"Control with frame",1,60,"Pontederia cordata"
2019-07-24,"Control with frame",4,10,"Pontederia cordata"
2019-07-24,"Control with frame",5,10,"Pontederia cordata"
2019-07-24,"Control with frame",6,50,"Pontederia cordata"
2019-07-24,"Control with frame",7,5,"Pontederia cordata"
2019-07-24,"Control with frame",8,10,"Pontederia cordata"
2019-07-24,"Control with frame",9,30,"Pontederia cordata"
2020-07-20,"Press of saline addition",3,10,"Pontederia cordata"
2020-07-20,"Press of saline addition",4,10,"Pontederia cordata"
2020-07-20,"Press of saline addition",5,40,"Pontederia cordata"
2020-07-20,"Press of saline addition",6,50,"Pontederia cordata"
2020-07-20,"Press of saline addition",7,10,"Pontederia cordata"
2020-07-20,"Press of saline addition",8,5,"Pontederia cordata"
2020-07-20,"Pulse of saline addition",1,40,"Pontederia cordata"
2020-07-20,"Pulse of saline addition",2,0,"Pontederia cordata"
2020-07-20,"Pulse of saline addition",3,5,"Pontederia cordata"
2020-07-20,"Pulse of saline addition",4,10,"Pontederia cordata"
2020-07-20,"Pulse of saline addition",5,20,"Pontederia cordata"
2020-07-20,"Pulse of saline addition",6,5,"Pontederia cordata"
2020-07-20,"Freshwater addition",2,10,"Pontederia cordata"
2020-07-20,"Freshwater addition",3,10,"Pontederia cordata"
2020-07-20,"Freshwater addition",4,5,"Pontederia cordata"
2020-07-20,"Freshwater addition",5,10,"Pontederia cordata"
2020-07-20,"Freshwater addition",6,20,"Pontederia cordata"
2020-07-20,"Freshwater addition",7,15,"Pontederia cordata"
2020-07-20,"Control",1,40,"Pontederia cordata"
2020-07-20,"Control",2,5,"Pontederia cordata"
2020-07-20,"Control",3,5,"Pontederia cordata"
2020-07-20,"Control",4,15,"Pontederia cordata"
2020-07-20,"Control",5,5,"Pontederia cordata"
2020-07-20,"Control",6,30,"Pontederia cordata"
2020-07-20,"Control with frame",1,70,"Pontederia cordata"
2020-07-20,"Control with frame",4,10,"Pontederia cordata"
2020-07-20,"Control with frame",5,15,"Pontederia cordata"
2020-07-20,"Control with frame",6,40,"Pontederia cordata"
2020-07-20,"Control with frame",7,0,"Pontederia cordata"
2020-07-20,"Control with frame",8,20,"Pontederia cordata"
2020-07-20,"Control with frame",9,5,"Pontederia cordata"
2021-07-14,"Press of saline addition",3,0,"Pontederia cordata"
2021-07-14,"Press of saline addition",4,20,"Pontederia cordata"
2021-07-14,"Press of saline addition",5,50,"Pontederia cordata"
2021-07-14,"Press of saline addition",6,60,"Pontederia cordata"
2021-07-14,"Press of saline addition",7,5,"Pontederia cordata"
2021-07-14,"Press of saline addition",8,5,"Pontederia cordata"
2021-07-14,"Pulse of saline addition",1,10,"Pontederia cordata"
2021-07-14,"Pulse of saline addition",2,5,"Pontederia cordata"
2021-07-14,"Pulse of saline addition",3,30,"Pontederia cordata"
2021-07-14,"Pulse of saline addition",4,40,"Pontederia cordata"
2021-07-14,"Pulse of saline addition",5,20,"Pontederia cordata"
2021-07-14,"Pulse of saline addition",6,5,"Pontederia cordata"
2021-07-14,"Freshwater addition",2,30,"Pontederia cordata"
2021-07-14,"Freshwater addition",3,5,"Pontederia cordata"
2021-07-14,"Freshwater addition",4,10,"Pontederia cordata"
2021-07-14,"Freshwater addition",5,60,"Pontederia cordata"
2021-07-14,"Freshwater addition",6,20,"Pontederia cordata"
2021-07-14,"Freshwater addition",7,50,"Pontederia cordata"
2021-07-14,"Control",1,70,"Pontederia cordata"
2021-07-14,"Control",2,5,"Pontederia cordata"
2021-07-14,"Control",3,50,"Pontederia cordata"
2021-07-14,"Control",4,20,"Pontederia cordata"
2021-07-14,"Control",5,10,"Pontederia cordata"
2021-07-14,"Control",6,90,"Pontederia cordata"
2021-07-14,"Control with frame",1,30,"Pontederia cordata"
2021-07-14,"Control with frame",4,5,"Pontederia cordata"
2021-07-14,"Control with frame",5,10,"Pontederia cordata"
2021-07-14,"Control with frame",6,80,"Pontederia cordata"
2021-07-14,"Control with frame",7,5,"Pontederia cordata"
2021-07-14,"Control with frame",8,20,"Pontederia cordata"
2021-07-14,"Control with frame",9,10,"Pontederia cordata"
2022-07-13,"Press of saline addition",3,10,"Pontederia cordata"
2022-07-13,"Press of saline addition",4,20,"Pontederia cordata"
2022-07-13,"Press of saline addition",5,20,"Pontederia cordata"
2022-07-13,"Press of saline addition",6,20,"Pontederia cordata"
2022-07-13,"Press of saline addition",7,5,"Pontederia cordata"
2022-07-13,"Press of saline addition",8,30,"Pontederia cordata"
2022-07-13,"Pulse of saline addition",1,25,"Pontederia cordata"
2022-07-13,"Pulse of saline addition",2,5,"Pontederia cordata"
2022-07-13,"Pulse of saline addition",3,20,"Pontederia cordata"
2022-07-13,"Pulse of saline addition",4,25,"Pontederia cordata"
2022-07-13,"Pulse of saline addition",5,30,"Pontederia cordata"
2022-07-13,"Pulse of saline addition",6,25,"Pontederia cordata"
2022-07-13,"Freshwater addition",2,65,"Pontederia cordata"
2022-07-13,"Freshwater addition",3,20,"Pontederia cordata"
2022-07-13,"Freshwater addition",4,20,"Pontederia cordata"
2022-07-13,"Freshwater addition",5,50,"Pontederia cordata"
2022-07-13,"Freshwater addition",6,20,"Pontederia cordata"
2022-07-13,"Freshwater addition",7,30,"Pontederia cordata"
2022-07-13,"Control",1,40,"Pontederia cordata"
2022-07-13,"Control",2,30,"Pontederia cordata"
2022-07-13,"Control",3,80,"Pontederia cordata"
2022-07-13,"Control",4,10,"Pontederia cordata"
2022-07-13,"Control",5,15,"Pontederia cordata"
2022-07-13,"Control",6,60,"Pontederia cordata"
2022-07-13,"Control with frame",1,75,"Pontederia cordata"
2022-07-13,"Control with frame",4,5,"Pontederia cordata"
2022-07-13,"Control with frame",5,10,"Pontederia cordata"
2022-07-13,"Control with frame",6,70,"Pontederia cordata"
2022-07-13,"Control with frame",7,5,"Pontederia cordata"
2022-07-13,"Control with frame",8,20,"Pontederia cordata"
2022-07-13,"Control with frame",9,40,"Pontederia cordata"
2013-07-15,"Control",1,85,"Zizaniopsis miliacea"
2013-07-15,"Control",2,80,"Zizaniopsis miliacea"
2013-07-15,"Control",3,50,"Zizaniopsis miliacea"
2013-07-15,"Control",4,90,"Zizaniopsis miliacea"
2013-07-15,"Control",5,80,"Zizaniopsis miliacea"
2013-07-15,"Control",6,70,"Zizaniopsis miliacea"
2013-07-15,"Control with frame",1,75,"Zizaniopsis miliacea"
2013-07-15,"Control with frame",2,80,"Zizaniopsis miliacea"
2013-07-15,"Control with frame",3,50,"Zizaniopsis miliacea"
2013-07-15,"Control with frame",4,75,"Zizaniopsis miliacea"
2013-07-15,"Control with frame",5,90,"Zizaniopsis miliacea"
2013-07-15,"Control with frame",6,90,"Zizaniopsis miliacea"
2013-07-15,"Freshwater addition",1,90,"Zizaniopsis miliacea"
2013-07-15,"Freshwater addition",2,80,"Zizaniopsis miliacea"
2013-07-15,"Freshwater addition",3,70,"Zizaniopsis miliacea"
2013-07-15,"Freshwater addition",4,75,"Zizaniopsis miliacea"
2013-07-15,"Freshwater addition",5,70,"Zizaniopsis miliacea"
2013-07-15,"Freshwater addition",6,85,"Zizaniopsis miliacea"
2013-07-15,"Press of saline addition",1,95,"Zizaniopsis miliacea"
2013-07-15,"Press of saline addition",2,70,"Zizaniopsis miliacea"
2013-07-15,"Press of saline addition",3,80,"Zizaniopsis miliacea"
2013-07-15,"Press of saline addition",4,60,"Zizaniopsis miliacea"
2013-07-15,"Press of saline addition",5,70,"Zizaniopsis miliacea"
2013-07-15,"Press of saline addition",6,60,"Zizaniopsis miliacea"
2013-07-15,"Pulse of saline addition",1,75,"Zizaniopsis miliacea"
2013-07-15,"Pulse of saline addition",2,75,"Zizaniopsis miliacea"
2013-07-15,"Pulse of saline addition",3,40,"Zizaniopsis miliacea"
2013-07-15,"Pulse of saline addition",4,50,"Zizaniopsis miliacea"
2013-07-15,"Pulse of saline addition",5,75,"Zizaniopsis miliacea"
2013-07-15,"Pulse of saline addition",6,85,"Zizaniopsis miliacea"
2014-07-31,"Control",1,100,"Zizaniopsis miliacea"
2014-07-31,"Control",2,70,"Zizaniopsis miliacea"
2014-07-31,"Control",3,90,"Zizaniopsis miliacea"
2014-07-31,"Control",4,100,"Zizaniopsis miliacea"
2014-07-31,"Control",5,60,"Zizaniopsis miliacea"
2014-07-31,"Control",6,100,"Zizaniopsis miliacea"
2014-07-31,"Control with frame",1,100,"Zizaniopsis miliacea"
2014-07-31,"Control with frame",2,100,"Zizaniopsis miliacea"
2014-07-31,"Control with frame",3,80,"Zizaniopsis miliacea"
2014-07-31,"Control with frame",4,80,"Zizaniopsis miliacea"
2014-07-31,"Control with frame",5,100,"Zizaniopsis miliacea"
2014-07-31,"Control with frame",6,70,"Zizaniopsis miliacea"
2014-07-31,"Freshwater addition",1,80,"Zizaniopsis miliacea"
2014-07-31,"Freshwater addition",2,90,"Zizaniopsis miliacea"
2014-07-31,"Freshwater addition",3,70,"Zizaniopsis miliacea"
2014-07-31,"Freshwater addition",4,80,"Zizaniopsis miliacea"
2014-07-31,"Freshwater addition",5,100,"Zizaniopsis miliacea"
2014-07-31,"Freshwater addition",6,100,"Zizaniopsis miliacea"
2014-07-31,"Press of saline addition",1,100,"Zizaniopsis miliacea"
2014-07-31,"Press of saline addition",2,80,"Zizaniopsis miliacea"
2014-07-31,"Press of saline addition",3,80,"Zizaniopsis miliacea"
2014-07-31,"Press of saline addition",4,60,"Zizaniopsis miliacea"
2014-07-31,"Press of saline addition",5,60,"Zizaniopsis miliacea"
2014-07-31,"Press of saline addition",6,40,"Zizaniopsis miliacea"
2014-07-31,"Pulse of saline addition",1,100,"Zizaniopsis miliacea"
2014-07-31,"Pulse of saline addition",2,100,"Zizaniopsis miliacea"
2014-07-31,"Pulse of saline addition",3,80,"Zizaniopsis miliacea"
2014-07-31,"Pulse of saline addition",4,70,"Zizaniopsis miliacea"
2014-07-31,"Pulse of saline addition",5,80,"Zizaniopsis miliacea"
2014-07-31,"Pulse of saline addition",6,70,"Zizaniopsis miliacea"
2015-07-20,"Control",1,100,"Zizaniopsis miliacea"
2015-07-20,"Control",2,80,"Zizaniopsis miliacea"
2015-07-20,"Control",3,70,"Zizaniopsis miliacea"
2015-07-20,"Control",4,80,"Zizaniopsis miliacea"
2015-07-20,"Control",5,90,"Zizaniopsis miliacea"
2015-07-20,"Control",6,50,"Zizaniopsis miliacea"
2015-07-20,"Control with frame",1,70,"Zizaniopsis miliacea"
2015-07-20,"Control with frame",2,100,"Zizaniopsis miliacea"
2015-07-20,"Control with frame",3,70,"Zizaniopsis miliacea"
2015-07-20,"Control with frame",4,100,"Zizaniopsis miliacea"
2015-07-20,"Control with frame",5,100,"Zizaniopsis miliacea"
2015-07-20,"Control with frame",6,70,"Zizaniopsis miliacea"
2015-07-20,"Control with frame",7,100,"Zizaniopsis miliacea"
2015-07-20,"Freshwater addition",1,90,"Zizaniopsis miliacea"
2015-07-20,"Freshwater addition",2,70,"Zizaniopsis miliacea"
2015-07-20,"Freshwater addition",3,100,"Zizaniopsis miliacea"
2015-07-20,"Freshwater addition",4,80,"Zizaniopsis miliacea"
2015-07-20,"Freshwater addition",5,90,"Zizaniopsis miliacea"
2015-07-20,"Freshwater addition",6,90,"Zizaniopsis miliacea"
2015-07-20,"Press of saline addition",1,70,"Zizaniopsis miliacea"
2015-07-20,"Press of saline addition",2,80,"Zizaniopsis miliacea"
2015-07-20,"Press of saline addition",3,50,"Zizaniopsis miliacea"
2015-07-20,"Press of saline addition",4,50,"Zizaniopsis miliacea"
2015-07-20,"Press of saline addition",5,20,"Zizaniopsis miliacea"
2015-07-20,"Press of saline addition",6,30,"Zizaniopsis miliacea"
2015-07-20,"Pulse of saline addition",1,80,"Zizaniopsis miliacea"
2015-07-20,"Pulse of saline addition",2,90,"Zizaniopsis miliacea"
2015-07-20,"Pulse of saline addition",3,90,"Zizaniopsis miliacea"
2015-07-20,"Pulse of saline addition",4,80,"Zizaniopsis miliacea"
2015-07-20,"Pulse of saline addition",5,70,"Zizaniopsis miliacea"
2015-07-20,"Pulse of saline addition",6,100,"Zizaniopsis miliacea"
2016-07-13,"Control",1,100,"Zizaniopsis miliacea"
2016-07-13,"Control ",2,90,"Zizaniopsis miliacea"
2016-07-13,"Control",3,70,"Zizaniopsis miliacea"
2016-07-13,"Control",4,80,"Zizaniopsis miliacea"
2016-07-13,"Control ",5,90,"Zizaniopsis miliacea"
2016-07-13,"Control",6,60,"Zizaniopsis miliacea"
2016-07-13,"Control with frame",1,100,"Zizaniopsis miliacea"
2016-07-13,"Control with frame",2,100,"Zizaniopsis miliacea"
2016-07-13,"Control with frame",3,90,"Zizaniopsis miliacea"
2016-07-13,"Control with frame",4,100,"Zizaniopsis miliacea"
2016-07-13,"Control with frame",5,90,"Zizaniopsis miliacea"
2016-07-13,"Control with frame",6,90,"Zizaniopsis miliacea"
2016-07-13,"Control with frame",7,100,"Zizaniopsis miliacea"
2016-07-13,"Freshwater addition",1,100,"Zizaniopsis miliacea"
2016-07-13,"Freshwater addition",2,80,"Zizaniopsis miliacea"
2016-07-13,"Freshwater addition",3,100,"Zizaniopsis miliacea"
2016-07-13,"Freshwater addition",4,70,"Zizaniopsis miliacea"
2016-07-13,"Freshwater addition",5,90,"Zizaniopsis miliacea"
2016-07-13,"Freshwater addition",6,80,"Zizaniopsis miliacea"
2016-07-13,"Press of saline water",1,60,"Zizaniopsis miliacea"
2016-07-13,"Press of saline water",2,70,"Zizaniopsis miliacea"
2016-07-13,"Press of saline water",3,30,"Zizaniopsis miliacea"
2016-07-13,"Press of saline water",4,50,"Zizaniopsis miliacea"
2016-07-13,"Press of saline water",5,10,"Zizaniopsis miliacea"
2016-07-13,"Press of saline water",6,30,"Zizaniopsis miliacea"
2016-07-13,"Pulse of saline water",1,100,"Zizaniopsis miliacea"
2016-07-13,"Pulse of saline water",2,90,"Zizaniopsis miliacea"
2016-07-13,"Pulse of saline water",3,80,"Zizaniopsis miliacea"
2016-07-13,"Pulse of saline water",4,80,"Zizaniopsis miliacea"
2016-07-13,"Pulse of saline water",5,70,"Zizaniopsis miliacea"
2016-07-13,"Pulse of saline water",6,100,"Zizaniopsis miliacea"
2017-07-07,"Control",1,100,"Zizaniopsis miliacea"
2017-07-07,"Control ",2,95,"Zizaniopsis miliacea"
2017-07-07,"Control",3,80,"Zizaniopsis miliacea"
2017-07-07,"Control",4,85,"Zizaniopsis miliacea"
2017-07-07,"Control ",5,95,"Zizaniopsis miliacea"
2017-07-07,"Control",6,5,"Zizaniopsis miliacea"
2017-07-07,"Control with frame",1,90,"Zizaniopsis miliacea"
2017-07-07,"Control with frame",2,100,"Zizaniopsis miliacea"
2017-07-07,"Control with frame",3,95,"Zizaniopsis miliacea"
2017-07-07,"Control with frame",4,85,"Zizaniopsis miliacea"
2017-07-07,"Control with frame",5,80,"Zizaniopsis miliacea"
2017-07-07,"Control with frame",6,90,"Zizaniopsis miliacea"
2017-07-07,"Control with frame",7,100,"Zizaniopsis miliacea"
2017-07-07,"Freshwater addition",1,100,"Zizaniopsis miliacea"
2017-07-07,"Freshwater addition",2,85,"Zizaniopsis miliacea"
2017-07-07,"Freshwater addition",3,100,"Zizaniopsis miliacea"
2017-07-07,"Freshwater addition",4,90,"Zizaniopsis miliacea"
2017-07-07,"Freshwater addition",5,95,"Zizaniopsis miliacea"
2017-07-07,"Freshwater addition",6,95,"Zizaniopsis miliacea"
2017-07-07,"Press of saline water",1,65,"Zizaniopsis miliacea"
2017-07-07,"Press of saline water",2,65,"Zizaniopsis miliacea"
2017-07-07,"Press of saline water",3,35,"Zizaniopsis miliacea"
2017-07-07,"Press of saline water",4,15,"Zizaniopsis miliacea"
2017-07-07,"Press of saline water",5,5,"Zizaniopsis miliacea"
2017-07-07,"Press of saline water",6,10,"Zizaniopsis miliacea"
2017-07-07,"Pulse of saline water",1,85,"Zizaniopsis miliacea"
2017-07-07,"Pulse of saline water",2,90,"Zizaniopsis miliacea"
2017-07-07,"Pulse of saline water",3,75,"Zizaniopsis miliacea"
2017-07-07,"Pulse of saline water",4,50,"Zizaniopsis miliacea"
2017-07-07,"Pulse of saline water",5,90,"Zizaniopsis miliacea"
2017-07-07,"Pulse of saline water",6,90,"Zizaniopsis miliacea"
2018-07-17,"Control",1,80,"Zizaniopsis miliacea"
2018-07-17,"Control",2,60,"Zizaniopsis miliacea"
2018-07-20,"Control",3,50,"Zizaniopsis miliacea"
2018-07-20,"Control",4,70,"Zizaniopsis miliacea"
2018-07-17,"Control",5,50,"Zizaniopsis miliacea"
2018-07-25,"Control",6,5,"Zizaniopsis miliacea"
2018-07-17,"Control with frame",1,60,"Zizaniopsis miliacea"
2018-07-17,"Control with frame",4,80,"Zizaniopsis miliacea"
2018-07-20,"Control with frame",5,60,"Zizaniopsis miliacea"
2018-07-20,"Control with frame",6,45,"Zizaniopsis miliacea"
2018-07-17,"Control with frame",7,90,"Zizaniopsis miliacea"
2018-07-17,"Control with frame",8,80,"Zizaniopsis miliacea"
2018-07-17,"Control with frame",9,60,"Zizaniopsis miliacea"
2018-07-20,"Freshwater addition",2,50,"Zizaniopsis miliacea"
2018-07-17,"Freshwater addition",3,80,"Zizaniopsis miliacea"
2018-07-17,"Freshwater addition",4,60,"Zizaniopsis miliacea"
2018-07-25,"Freshwater addition",5,50,"Zizaniopsis miliacea"
2018-07-20,"Freshwater addition",6,60,"Zizaniopsis miliacea"
2018-07-17,"Freshwater addition",7,70,"Zizaniopsis miliacea"
2018-07-20,"Pulse of saline addition",1,50,"Zizaniopsis miliacea"
2018-07-17,"Pulse of saline addition",2,80,"Zizaniopsis miliacea"
2018-07-20,"Pulse of saline addition",3,40,"Zizaniopsis miliacea"
2018-07-25,"Pulse of saline addition",4,40,"Zizaniopsis miliacea"
2018-07-25,"Pulse of saline addition",5,40,"Zizaniopsis miliacea"
2018-07-20,"Pulse of saline addition",6,40,"Zizaniopsis miliacea"
2018-07-20,"Press of saline addition",3,10,"Zizaniopsis miliacea"
2018-07-20,"Press of saline addition",4,20,"Zizaniopsis miliacea"
2018-07-20,"Press of saline addition",5,10,"Zizaniopsis miliacea"
2018-07-20,"Press of saline addition",6,20,"Zizaniopsis miliacea"
2018-07-17,"Press of saline addition",7,10,"Zizaniopsis miliacea"
2018-07-20,"Press of saline addition",8,20,"Zizaniopsis miliacea"
2019-07-24,"Press of saline addition",3,10,"Zizaniopsis miliacea"
2019-07-24,"Press of saline addition",4,20,"Zizaniopsis miliacea"
2019-07-24,"Press of saline addition",5,10,"Zizaniopsis miliacea"
2019-07-24,"Press of saline addition",6,10,"Zizaniopsis miliacea"
2019-07-24,"Press of saline addition",7,20,"Zizaniopsis miliacea"
2019-07-24,"Press of saline addition",8,45,"Zizaniopsis miliacea"
2019-07-24,"Pulse of saline addition",1,95,"Zizaniopsis miliacea"
2019-07-24,"Pulse of saline addition",2,95,"Zizaniopsis miliacea"
2019-07-24,"Pulse of saline addition",3,80,"Zizaniopsis miliacea"
2019-07-24,"Pulse of saline addition",4,65,"Zizaniopsis miliacea"
2019-07-24,"Pulse of saline addition",5,75,"Zizaniopsis miliacea"
2019-07-24,"Pulse of saline addition",6,40,"Zizaniopsis miliacea"
2019-07-24,"Freshwater addition",2,95,"Zizaniopsis miliacea"
2019-07-24,"Freshwater addition",3,85,"Zizaniopsis miliacea"
2019-07-24,"Freshwater addition",4,90,"Zizaniopsis miliacea"
2019-07-24,"Freshwater addition",5,80,"Zizaniopsis miliacea"
2019-07-24,"Freshwater addition",6,90,"Zizaniopsis miliacea"
2019-07-24,"Freshwater addition",7,95,"Zizaniopsis miliacea"
2019-07-24,"Control",1,95,"Zizaniopsis miliacea"
2019-07-24,"Control",2,80,"Zizaniopsis miliacea"
2019-07-24,"Control",3,80,"Zizaniopsis miliacea"
2019-07-24,"Control",4,90,"Zizaniopsis miliacea"
2019-07-24,"Control",5,90,"Zizaniopsis miliacea"
2019-07-24,"Control",6,1,"Zizaniopsis miliacea"
2019-07-24,"Control with frame",1,95,"Zizaniopsis miliacea"
2019-07-24,"Control with frame",4,95,"Zizaniopsis miliacea"
2019-07-24,"Control with frame",5,100,"Zizaniopsis miliacea"
2019-07-24,"Control with frame",6,60,"Zizaniopsis miliacea"
2019-07-24,"Control with frame",7,100,"Zizaniopsis miliacea"
2019-07-24,"Control with frame",8,95,"Zizaniopsis miliacea"
2019-07-24,"Control with frame",9,95,"Zizaniopsis miliacea"
2020-07-20,"Press of saline addition",3,60,"Zizaniopsis miliacea"
2020-07-20,"Press of saline addition",4,20,"Zizaniopsis miliacea"
2020-07-20,"Press of saline addition",5,15,"Zizaniopsis miliacea"
2020-07-20,"Press of saline addition",6,10,"Zizaniopsis miliacea"
2020-07-20,"Press of saline addition",7,50,"Zizaniopsis miliacea"
2020-07-20,"Press of saline addition",8,60,"Zizaniopsis miliacea"
2020-07-20,"Pulse of saline addition",1,90,"Zizaniopsis miliacea"
2020-07-20,"Pulse of saline addition",2,95,"Zizaniopsis miliacea"
2020-07-20,"Pulse of saline addition",3,70,"Zizaniopsis miliacea"
2020-07-20,"Pulse of saline addition",4,90,"Zizaniopsis miliacea"
2020-07-20,"Pulse of saline addition",5,40,"Zizaniopsis miliacea"
2020-07-20,"Pulse of saline addition",6,30,"Zizaniopsis miliacea"
2020-07-20,"Freshwater addition",2,90,"Zizaniopsis miliacea"
2020-07-20,"Freshwater addition",3,100,"Zizaniopsis miliacea"
