"LTER_site","local_site","year","date","block","plot","code","snow","N","temp","spp","mass","notes"
"NWT","itex",2010,2010-08-02,1,4,"XXX","X","X","X","litter","76.75",""
"NWT","itex",2010,2010-08-02,1,4,"XXX","X","X","X","live","276",""
"NWT","itex",2010,2010-08-02,1,5,"XNX","X","N","X","litter","398.25",""
"NWT","itex",2010,2010-08-02,1,5,"XNX","X","N","X","live","279.25",""
"NWT","itex",2010,2010-08-03,1,6,"XXX","X","X","X","litter","133.75",""
"NWT","itex",2010,2010-08-03,1,6,"XXX","X","X","X","live","363.5",""
"NWT","itex",2010,2010-08-03,1,7,"XNX","X","N","X","litter","68.75",""
"NWT","itex",2010,2010-08-03,1,7,"XNX","X","N","X","live","458.25",""
"NWT","itex",2010,2010-08-03,1,8,"XXW","X","X","W","litter","542.75",""
"NWT","itex",2010,2010-08-03,1,8,"XXW","X","X","W","live","299.25",""
"NWT","itex",2010,2010-08-03,1,9,"PNW","P","N","W","litter","96",""
"NWT","itex",2010,2010-08-03,1,9,"PNW","P","N","W","live","224.25",""
"NWT","itex",2010,2010-08-03,1,10,"PNX","P","N","X","litter","73.5",""
"NWT","itex",2010,2010-08-03,1,10,"PNX","P","N","X","live","375.5",""
"NWT","itex",2010,2010-08-03,1,11,"PXW","P","X","W","litter","127.25",""
"NWT","itex",2010,2010-08-03,1,11,"PXW","P","X","W","live","324.75",""
"NWT","itex",2010,2010-08-03,1,12,"PXX","P","X","X","litter","81.5",""
"NWT","itex",2010,2010-08-03,1,12,"PXX","P","X","X","live","142.5",""
"NWT","itex",2010,2010-08-03,1,13,"PNW","P","N","W","litter","5.25",""
"NWT","itex",2010,2010-08-03,1,13,"PNW","P","N","W","live","66.5",""
"NWT","itex",2010,2010-08-03,1,14,"PXW","P","X","W","litter","110",""
"NWT","itex",2010,2010-08-03,1,14,"PXW","P","X","W","live","312",""
"NWT","itex",2010,2010-08-03,1,15,"PNX","P","N","X","litter","63",""
"NWT","itex",2010,2010-08-03,1,15,"PNX","P","N","X","live","393",""
"NWT","itex",2010,2010-08-04,1,16,"PXX","P","X","X","litter","247.25",""
"NWT","itex",2010,2010-08-04,1,16,"PXX","P","X","X","live","199.75",""
"NWT","itex",2010,2010-08-03,2,17,"XNX","X","N","X","litter","47.25",""
"NWT","itex",2010,2010-08-03,2,17,"XNX","X","N","X","live","209.25",""
"NWT","itex",2010,2010-08-03,2,18,"XXW","X","X","W","litter","85.75",""
"NWT","itex",2010,2010-08-03,2,18,"XXW","X","X","W","live","112.25",""
"NWT","itex",2010,2010-08-03,2,19,"XNW","X","N","W","litter","55.75",""
"NWT","itex",2010,2010-08-03,2,19,"XNW","X","N","W","live","107.5",""
"NWT","itex",2010,2010-08-03,2,20,"XNX","X","N","X","litter","24.25",""
"NWT","itex",2010,2010-08-03,2,20,"XNX","X","N","X","live","114.5",""
"NWT","itex",2010,2010-08-03,2,21,"XXW","X","X","W","litter","10",""
"NWT","itex",2010,2010-08-03,2,21,"XXW","X","X","W","live","100.5",""
"NWT","itex",2010,2010-08-04,2,22,"XXX","X","X","X","litter","372",""
"NWT","itex",2010,2010-08-04,2,22,"XXX","X","X","X","live","186",""
"NWT","itex",2010,2010-08-04,2,23,"XNW","X","N","W","litter","313.5",""
"NWT","itex",2010,2010-08-04,2,23,"XNW","X","N","W","live","432.25",""
"NWT","itex",2010,2010-08-04,2,24,"XXX","X","X","X","litter","67",""
"NWT","itex",2010,2010-08-04,2,24,"XXX","X","X","X","live","239.25",""
"NWT","itex",2010,2010-08-04,2,25,"PNX","P","N","X","litter","57.5",""
"NWT","itex",2010,2010-08-04,2,25,"PNX","P","N","X","live","213.75",""
"NWT","itex",2010,2010-08-05,2,26,"PXX","P","X","X","litter","57.75",""
"NWT","itex",2010,2010-08-05,2,26,"PXX","P","X","X","live","134.75",""
"NWT","itex",2010,2010-08-05,2,27,"PNW","P","N","W","litter","151",""
"NWT","itex",2010,2010-08-05,2,27,"PNW","P","N","W","live","237.5",""
"NWT","itex",2010,2010-08-05,2,28,"PXW","P","X","W","litter","8.75",""
"NWT","itex",2010,2010-08-05,2,28,"PXW","P","X","W","live","127",""
"NWT","itex",2010,2010-08-05,2,29,"PXW","P","X","W","litter","71.75",""
"NWT","itex",2010,2010-08-05,2,29,"PXW","P","X","W","live","180.25",""
"NWT","itex",2010,2010-08-05,2,30,"PNW","P","N","W","litter","233.5",""
"NWT","itex",2010,2010-08-05,2,30,"PNW","P","N","W","live","490.75",""
"NWT","itex",2010,2010-08-05,2,31,"PXX","P","X","X","litter","536.25",""
"NWT","itex",2010,2010-08-05,2,31,"PXX","P","X","X","live","294",""
"NWT","itex",2010,2010-08-05,2,32,"PNX","P","N","X","litter","77.5",""
"NWT","itex",2010,2010-08-05,2,32,"PNX","P","N","X","live","203.5",""
"NWT","itex",2010,2010-08-05,3,33,"XXX","X","X","X","litter","239.25",""
"NWT","itex",2010,2010-08-05,3,33,"XXX","X","X","X","live","285.25",""
"NWT","itex",2010,2010-08-05,3,34,"XNW","X","N","W","litter","206.75",""
"NWT","itex",2010,2010-08-05,3,34,"XNW","X","N","W","live","287.75",""
"NWT","itex",2010,2010-08-06,3,35,"XNX","X","N","X","litter","183.5",""
"NWT","itex",2010,2010-08-06,3,35,"XNX","X","N","X","live","316.5",""
"NWT","itex",2010,2010-08-06,3,36,"XNW","X","N","W","litter","63.25",""
"NWT","itex",2010,2010-08-06,3,36,"XNW","X","N","W","live","164.25",""
"NWT","itex",2010,2010-08-06,3,37,"XNX","X","N","X","litter","329.5",""
"NWT","itex",2010,2010-08-06,3,37,"XNX","X","N","X","live","286.25",""
"NWT","itex",2010,2010-08-06,3,38,"XXW","X","X","W","litter","63.25",""
"NWT","itex",2010,2010-08-06,3,38,"XXW","X","X","W","live","206.5",""
"NWT","itex",2010,2010-08-06,3,39,"XXX","X","X","X","litter","78.5",""
"NWT","itex",2010,2010-08-06,3,39,"XXX","X","X","X","live","211",""
"NWT","itex",2010,2010-08-06,3,40,"XXW","X","X","W","litter","109.75",""
"NWT","itex",2010,2010-08-06,3,40,"XXW","X","X","W","live","185.25",""
"NWT","itex",2010,2010-08-06,3,41,"PXX","P","X","X","litter","45.25",""
"NWT","itex",2010,2010-08-06,3,41,"PXX","P","X","X","live","209",""
"NWT","itex",2010,2010-08-06,3,42,"PNW","P","N","W","litter","39.5",""
"NWT","itex",2010,2010-08-06,3,42,"PNW","P","N","W","live","118",""
"NWT","itex",2010,2010-08-06,3,43,"PNX","P","N","X","litter","69.25",""
"NWT","itex",2010,2010-08-06,3,43,"PNX","P","N","X","live","238.25",""
"NWT","itex",2010,2010-08-06,3,44,"PXW","P","X","W","litter","9",""
"NWT","itex",2010,2010-08-06,3,44,"PXW","P","X","W","live","68.75",""
"NWT","itex",2010,2010-08-05,3,45,"PXW","P","X","W","litter","20.5",""
"NWT","itex",2010,2010-08-05,3,45,"PXW","P","X","W","live","150.25",""
"NWT","itex",2010,2010-08-05,3,46,"PXX","P","X","X","litter","0.75",""
"NWT","itex",2010,2010-08-05,3,46,"PXX","P","X","X","live","95",""
"NWT","itex",2010,2010-08-05,3,47,"PNX","P","N","X","litter","15.25",""
"NWT","itex",2010,2010-08-05,3,47,"PNX","P","N","X","live","148",""
"NWT","itex",2010,2010-08-05,3,48,"PNW","P","N","W","litter","5.5",""
"NWT","itex",2010,2010-08-05,3,48,"PNW","P","N","W","live","82",""
"NWT","itex",2011,2011-08-12,1,1,"XXW","X","X","W","litter","303.5",""
"NWT","itex",2011,2011-08-12,1,1,"XXW","X","X","W","live","259.75",""
"NWT","itex",2011,2011-08-12,1,2,"XNW","X","N","W","litter","500.5",""
"NWT","itex",2011,2011-08-12,1,2,"XNW","X","N","W","live","259.75",""
"NWT","itex",2011,2011-08-12,1,3,"XNW","X","N","W","litter","465",""
"NWT","itex",2011,2011-08-12,1,3,"XNW","X","N","W","live","238.5",""
"NWT","itex",2011,2011-08-12,1,4,"XXX","X","X","X","litter","321.5",""
"NWT","itex",2011,2011-08-12,1,4,"XXX","X","X","X","live","230.5",""
"NWT","itex",2011,2011-08-12,1,5,"XNX","X","N","X","litter","134.25",""
"NWT","itex",2011,2011-08-12,1,5,"XNX","X","N","X","live","80.5",""
"NWT","itex",2011,2011-08-12,1,6,"XXX","X","X","X","litter","105.25",""
"NWT","itex",2011,2011-08-12,1,6,"XXX","X","X","X","live","138.5",""
"NWT","itex",2011,2011-08-12,1,7,"XNX","X","N","X","litter","173.75",""
"NWT","itex",2011,2011-08-12,1,7,"XNX","X","N","X","live","164",""
"NWT","itex",2011,2011-08-12,1,8,"XXW","X","X","W","litter","766.5",""
"NWT","itex",2011,2011-08-12,1,8,"XXW","X","X","W","live","421.75",""
"NWT","itex",2011,2011-08-12,1,9,"PNW","P","N","W","litter","153",""
"NWT","itex",2011,2011-08-12,1,9,"PNW","P","N","W","live","190",""
"NWT","itex",2011,2011-08-12,1,10,"PNX","P","N","X","litter","66.25",""
"NWT","itex",2011,2011-08-12,1,10,"PNX","P","N","X","live","270.75",""
"NWT","itex",2011,2011-08-12,1,11,"PXW","P","X","W","litter","22.5",""
"NWT","itex",2011,2011-08-12,1,11,"PXW","P","X","W","live","178.5",""
"NWT","itex",2011,2011-08-12,1,12,"PXX","P","X","X","litter","45.75",""
"NWT","itex",2011,2011-08-12,1,12,"PXX","P","X","X","live","185.25",""
"NWT","itex",2011,2011-08-12,1,13,"PNW","P","N","W","litter","356.25",""
"NWT","itex",2011,2011-08-12,1,13,"PNW","P","N","W","live","261.5",""
"NWT","itex",2011,2011-08-12,1,14,"PXW","P","X","W","litter","90.5",""
"NWT","itex",2011,2011-08-12,1,14,"PXW","P","X","W","live","205.5",""
"NWT","itex",2011,2011-08-12,1,15,"PNX","P","N","X","litter","207.5",""
"NWT","itex",2011,2011-08-12,1,15,"PNX","P","N","X","live","280.75",""
"NWT","itex",2011,2011-08-12,1,16,"PXX","P","X","X","litter","65",""
"NWT","itex",2011,2011-08-12,1,16,"PXX","P","X","X","live","200",""
"NWT","itex",2011,2011-08-15,2,17,"XNX","X","N","X","litter","182.75",""
"NWT","itex",2011,2011-08-15,2,17,"XNX","X","N","X","live","217.25",""
"NWT","itex",2011,2011-08-15,2,18,"XXW","X","X","W","litter","424.5",""
"NWT","itex",2011,2011-08-15,2,18,"XXW","X","X","W","live","202.25",""
"NWT","itex",2011,2011-08-15,2,19,"XNW","X","N","W","litter","142.75",""
"NWT","itex",2011,2011-08-15,2,19,"XNW","X","N","W","live","255",""
"NWT","itex",2011,2011-08-15,2,20,"XNX","X","N","X","litter","324",""
"NWT","itex",2011,2011-08-15,2,20,"XNX","X","N","X","live","326.75",""
"NWT","itex",2011,2011-08-15,2,21,"XXW","X","X","W","litter","59.75",""
"NWT","itex",2011,2011-08-15,2,21,"XXW","X","X","W","live","133.75",""
"NWT","itex",2011,2011-08-15,2,22,"XXX","X","X","X","litter","205.75",""
"NWT","itex",2011,2011-08-15,2,22,"XXX","X","X","X","live","181",""
"NWT","itex",2011,2011-08-15,2,23,"XNW","X","N","W","litter","129.5",""
"NWT","itex",2011,2011-08-15,2,23,"XNW","X","N","W","live","209.5",""
"NWT","itex",2011,2011-08-15,2,24,"XXX","X","X","X","litter","69.5",""
"NWT","itex",2011,2011-08-15,2,24,"XXX","X","X","X","live","190.25",""
"NWT","itex",2011,2011-08-15,2,25,"PNX","P","N","X","litter","111.25",""
"NWT","itex",2011,2011-08-15,2,25,"PNX","P","N","X","live","213.75",""
"NWT","itex",2011,2011-08-15,2,26,"PXX","P","X","X","litter","12",""
"NWT","itex",2011,2011-08-15,2,26,"PXX","P","X","X","live","108",""
"NWT","itex",2011,2011-08-15,2,27,"PNW","P","N","W","litter","240",""
"NWT","itex",2011,2011-08-15,2,27,"PNW","P","N","W","live","313.5",""
"NWT","itex",2011,2011-08-15,2,28,"PXW","P","X","W","litter","92.5",""
"NWT","itex",2011,2011-08-15,2,28,"PXW","P","X","W","live","234",""
"NWT","itex",2011,2011-08-15,2,29,"PXW","P","X","W","litter","115.5",""
"NWT","itex",2011,2011-08-15,2,29,"PXW","P","X","W","live","191",""
"NWT","itex",2011,2011-08-15,2,30,"PNW","P","N","W","litter","235.5",""
"NWT","itex",2011,2011-08-15,2,30,"PNW","P","N","W","live","149",""
"NWT","itex",2011,2011-08-15,2,31,"PXX","P","X","X","litter","53",""
"NWT","itex",2011,2011-08-15,2,31,"PXX","P","X","X","live","167",""
"NWT","itex",2011,2011-08-15,2,32,"PNX","P","N","X","litter","60.5",""
"NWT","itex",2011,2011-08-15,2,32,"PNX","P","N","X","live","167.5",""
"NWT","itex",2011,2011-08-15,3,33,"XXX","X","X","X","litter","50.75",""
"NWT","itex",2011,2011-08-15,3,33,"XXX","X","X","X","live","136.75",""
"NWT","itex",2011,2011-08-15,3,34,"XNW","X","N","W","litter","82.5",""
"NWT","itex",2011,2011-08-15,3,34,"XNW","X","N","W","live","187.5",""
"NWT","itex",2011,2011-08-15,3,35,"XNX","X","N","X","litter","32.5",""
"NWT","itex",2011,2011-08-15,3,35,"XNX","X","N","X","live","247.5",""
"NWT","itex",2011,2011-08-15,3,36,"XNW","X","N","W","litter","138.5",""
"NWT","itex",2011,2011-08-15,3,36,"XNW","X","N","W","live","110",""
"NWT","itex",2011,2011-08-15,3,37,"XNX","X","N","X","litter","102.25",""
"NWT","itex",2011,2011-08-15,3,37,"XNX","X","N","X","live","201.25",""
"NWT","itex",2011,2011-08-15,3,38,"XXW","X","X","W","litter","59.5",""
"NWT","itex",2011,2011-08-15,3,38,"XXW","X","X","W","live","123.25",""
"NWT","itex",2011,2011-08-15,3,39,"XXX","X","X","X","litter","69.5",""
"NWT","itex",2011,2011-08-15,3,39,"XXX","X","X","X","live","111.75",""
"NWT","itex",2011,2011-08-15,3,40,"XXW","X","X","W","litter","116.25",""
"NWT","itex",2011,2011-08-15,3,40,"XXW","X","X","W","live","233",""
"NWT","itex",2011,2011-08-15,3,41,"PXX","P","X","X","litter","67.25",""
"NWT","itex",2011,2011-08-15,3,41,"PXX","P","X","X","live","213.25",""
"NWT","itex",2011,2011-08-15,3,42,"PNW","P","N","W","litter","158.25",""
"NWT","itex",2011,2011-08-15,3,42,"PNW","P","N","W","live","357.25",""
"NWT","itex",2011,2011-08-15,3,43,"PNX","P","N","X","litter","251.25",""
"NWT","itex",2011,2011-08-15,3,43,"PNX","P","N","X","live","305",""
"NWT","itex",2011,2011-08-15,3,44,"PXW","P","X","W","litter","18.75",""
"NWT","itex",2011,2011-08-15,3,44,"PXW","P","X","W","live","82",""
"NWT","itex",2011,2011-08-15,3,45,"PXW","P","X","W","litter","93.75",""
"NWT","itex",2011,2011-08-15,3,45,"PXW","P","X","W","live","234.25",""
"NWT","itex",2011,2011-08-15,3,46,"PXX","P","X","X","litter","21",""
"NWT","itex",2011,2011-08-15,3,46,"PXX","P","X","X","live","134",""
"NWT","itex",2011,2011-08-15,3,47,"PNX","P","N","X","litter","278",""
"NWT","itex",2011,2011-08-15,3,47,"PNX","P","N","X","live","347.25",""
"NWT","itex",2011,2011-08-15,3,48,"PNW","P","N","W","litter","124.75",""
"NWT","itex",2011,2011-08-15,3,48,"PNW","P","N","W","live","390.75",""
"NWT","itex",2012,2012-08-07,1,1,"XXW","X","X","W","litter","314.25",""
"NWT","itex",2012,2012-08-07,1,1,"XXW","X","X","W","live","238",""
"NWT","itex",2012,2012-08-07,1,2,"XNW","X","N","W","litter","141.25",""
"NWT","itex",2012,2012-08-07,1,2,"XNW","X","N","W","live","152.5",""
"NWT","itex",2012,2012-08-07,1,3,"XNW","X","N","W","litter","103.5",""
"NWT","itex",2012,2012-08-07,1,3,"XNW","X","N","W","live","102.25",""
"NWT","itex",2012,2012-08-07,1,4,"XXX","X","X","X","litter","60",""
"NWT","itex",2012,2012-08-07,1,4,"XXX","X","X","X","live","128.5",""
"NWT","itex",2012,2012-08-07,1,5,"XNX","X","N","X","litter","149.25",""
"NWT","itex",2012,2012-08-07,1,5,"XNX","X","N","X","live","168.75",""
"NWT","itex",2012,2012-08-07,1,6,"XXX","X","X","X","litter","237.5",""
"NWT","itex",2012,2012-08-07,1,6,"XXX","X","X","X","live","271.25",""
"NWT","itex",2012,2012-08-07,1,7,"XNX","X","N","X","litter","209.75",""
"NWT","itex",2012,2012-08-07,1,7,"XNX","X","N","X","live","168.5",""
"NWT","itex",2012,2012-08-07,1,8,"XXW","X","X","W","litter","215.5",""
"NWT","itex",2012,2012-08-07,1,8,"XXW","X","X","W","live","147.5",""
"NWT","itex",2012,2012-08-07,1,9,"PNW","P","N","W","litter","258",""
"NWT","itex",2012,2012-08-07,1,9,"PNW","P","N","W","live","109.25",""
"NWT","itex",2012,2012-08-07,1,10,"PNX","P","N","X","litter","69.25",""
"NWT","itex",2012,2012-08-07,1,10,"PNX","P","N","X","live","260.25",""
"NWT","itex",2012,2012-08-07,1,11,"PXW","P","X","W","litter","69.5",""
"NWT","itex",2012,2012-08-07,1,11,"PXW","P","X","W","live","127",""
"NWT","itex",2012,2012-08-07,1,12,"PXX","P","X","X","litter","103.5",""
"NWT","itex",2012,2012-08-07,1,12,"PXX","P","X","X","live","273.75",""
"NWT","itex",2012,2012-08-07,1,13,"PNW","P","N","W","litter","71.5",""
"NWT","itex",2012,2012-08-07,1,13,"PNW","P","N","W","live","205.5",""
"NWT","itex",2012,2012-08-07,1,14,"PXW","P","X","W","litter","261.25",""
"NWT","itex",2012,2012-08-07,1,14,"PXW","P","X","W","live","183.25",""
"NWT","itex",2012,2012-08-07,1,15,"PNX","P","N","X","litter","298",""
"NWT","itex",2012,2012-08-07,1,15,"PNX","P","N","X","live","350.75",""
"NWT","itex",2012,2012-08-07,1,16,"PXX","P","X","X","litter","95.5",""
"NWT","itex",2012,2012-08-07,1,16,"PXX","P","X","X","live","221",""
"NWT","itex",2012,2012-08-07,2,17,"XNX","X","N","X","litter","242",""
"NWT","itex",2012,2012-08-07,2,17,"XNX","X","N","X","live","195",""
"NWT","itex",2012,2012-08-07,2,18,"XXW","X","X","W","litter","524",""
"NWT","itex",2012,2012-08-07,2,18,"XXW","X","X","W","live","107.25",""
"NWT","itex",2012,2012-08-07,2,19,"XNW","X","N","W","litter","203.75",""
"NWT","itex",2012,2012-08-07,2,19,"XNW","X","N","W","live","155.5",""
"NWT","itex",2012,2012-08-07,2,20,"XNX","X","N","X","litter","159.75",""
"NWT","itex",2012,2012-08-07,2,20,"XNX","X","N","X","live","81.75",""
"NWT","itex",2012,2012-08-07,2,21,"XXW","X","X","W","litter","19",""
"NWT","itex",2012,2012-08-07,2,21,"XXW","X","X","W","live","58",""
"NWT","itex",2012,2012-08-07,2,22,"XXX","X","X","X","litter","184.25",""
"NWT","itex",2012,2012-08-07,2,22,"XXX","X","X","X","live","154",""
"NWT","itex",2012,2012-08-07,2,23,"XNW","X","N","W","litter","288",""
"NWT","itex",2012,2012-08-07,2,23,"XNW","X","N","W","live","184",""
"NWT","itex",2012,2012-08-07,2,24,"XXX","X","X","X","litter","47.75",""
"NWT","itex",2012,2012-08-07,2,24,"XXX","X","X","X","live","74.75",""
"NWT","itex",2012,2012-08-07,2,25,"PNX","P","N","X","litter","191.75",""
"NWT","itex",2012,2012-08-07,2,25,"PNX","P","N","X","live","203",""
"NWT","itex",2012,2012-08-07,2,26,"PXX","P","X","X","litter","112.25",""
"NWT","itex",2012,2012-08-07,2,26,"PXX","P","X","X","live","129",""
"NWT","itex",2012,2012-08-07,2,27,"PNW","P","N","W","litter","149",""
"NWT","itex",2012,2012-08-07,2,27,"PNW","P","N","W","live","110.5",""
"NWT","itex",2012,2012-08-07,2,28,"PXW","P","X","W","litter","87.25",""
"NWT","itex",2012,2012-08-07,2,28,"PXW","P","X","W","live","104.75",""
"NWT","itex",2012,2012-08-07,2,29,"PXW","P","X","W","litter","77.25",""
"NWT","itex",2012,2012-08-07,2,29,"PXW","P","X","W","live","156.25",""
"NWT","itex",2012,2012-08-07,2,30,"PNW","P","N","W","litter","303.5",""
"NWT","itex",2012,2012-08-07,2,30,"PNW","P","N","W","live","161.25",""
"NWT","itex",2012,2012-08-07,2,31,"PXX","P","X","X","litter","127",""
"NWT","itex",2012,2012-08-07,2,31,"PXX","P","X","X","live","191.75",""
"NWT","itex",2012,2012-08-07,2,32,"PNX","P","N","X","litter","177.25",""
"NWT","itex",2012,2012-08-07,2,32,"PNX","P","N","X","live","238.25",""
"NWT","itex",2012,2012-08-07,3,33,"XXX","X","X","X","litter","163.25",""
"NWT","itex",2012,2012-08-07,3,33,"XXX","X","X","X","live","209",""
"NWT","itex",2012,2012-08-07,3,34,"XNW","X","N","W","litter","125.5",""
"NWT","itex",2012,2012-08-07,3,34,"XNW","X","N","W","live","69.5",""
"NWT","itex",2012,2012-08-07,3,35,"XNX","X","N","X","litter","94.5",""
"NWT","itex",2012,2012-08-07,3,35,"XNX","X","N","X","live","112.25",""
"NWT","itex",2012,2012-08-07,3,36,"XNW","X","N","W","litter","51.5",""
"NWT","itex",2012,2012-08-07,3,36,"XNW","X","N","W","live","162.25",""
"NWT","itex",2012,2012-08-08,3,37,"XNX","X","N","X","litter","234.75",""
"NWT","itex",2012,2012-08-08,3,37,"XNX","X","N","X","live","159.5",""
"NWT","itex",2012,2012-08-08,3,38,"XXW","X","X","W","litter","138.25",""
"NWT","itex",2012,2012-08-08,3,38,"XXW","X","X","W","live","141.25",""
"NWT","itex",2012,2012-08-08,3,39,"XXX","X","X","X","litter","58",""
"NWT","itex",2012,2012-08-08,3,39,"XXX","X","X","X","live","73.75",""
"NWT","itex",2012,2012-08-08,3,40,"XXW","X","X","W","litter","131.25",""
"NWT","itex",2012,2012-08-08,3,40,"XXW","X","X","W","live","119",""
"NWT","itex",2012,2012-08-08,3,41,"PXX","P","X","X","litter","263.75",""
"NWT","itex",2012,2012-08-08,3,41,"PXX","P","X","X","live","182.75",""
"NWT","itex",2012,2012-08-07,3,42,"PNW","P","N","W","litter","427.25",""
"NWT","itex",2012,2012-08-07,3,42,"PNW","P","N","W","live","194.75",""
"NWT","itex",2012,2012-08-07,3,43,"PNX","P","N","X","litter","180.5",""
"NWT","itex",2012,2012-08-07,3,43,"PNX","P","N","X","live","231.75",""
"NWT","itex",2012,2012-08-08,3,44,"PXW","P","X","W","litter","22.25",""
"NWT","itex",2012,2012-08-08,3,44,"PXW","P","X","W","live","52.75",""
"NWT","itex",2012,2012-08-08,3,45,"PXW","P","X","W","litter","166.5",""
"NWT","itex",2012,2012-08-08,3,45,"PXW","P","X","W","live","236.5",""
"NWT","itex",2012,2012-08-08,3,46,"PXX","P","X","X","litter","89.5",""
"NWT","itex",2012,2012-08-08,3,46,"PXX","P","X","X","live","155",""
"NWT","itex",2012,2012-08-08,3,47,"PNX","P","N","X","litter","211.75",""
"NWT","itex",2012,2012-08-08,3,47,"PNX","P","N","X","live","359.25",""
"NWT","itex",2012,2012-08-08,3,48,"PNW","P","N","W","litter","162.25",""
"NWT","itex",2012,2012-08-08,3,48,"PNW","P","N","W","live","156.5",""
"NWT","itex",2013,2013-07-31,1,1,"XXW","X","X","W","litter","85",""
"NWT","itex",2013,2013-07-31,1,1,"XXW","X","X","W","live","184",""
"NWT","itex",2013,2013-07-31,1,2,"XNW","X","N","W","litter","178.25",""
"NWT","itex",2013,2013-07-31,1,2,"XNW","X","N","W","live","214.25",""
"NWT","itex",2013,2013-07-31,1,3,"XNW","X","N","W","litter","262.25",""
"NWT","itex",2013,2013-07-31,1,3,"XNW","X","N","W","live","279.5",""
"NWT","itex",2013,2013-07-31,1,4,"XXX","X","X","X","litter","73",""
"NWT","itex",2013,2013-07-31,1,4,"XXX","X","X","X","live","263.75",""
"NWT","itex",2013,2013-07-31,1,5,"XNX","X","N","X","litter","368.75",""
"NWT","itex",2013,2013-07-31,1,5,"XNX","X","N","X","live","175.75",""
"NWT","itex",2013,2013-07-31,1,6,"XXX","X","X","X","litter","182",""
"NWT","itex",2013,2013-07-31,1,6,"XXX","X","X","X","live","288.25",""
"NWT","itex",2013,2013-07-31,1,7,"XNX","X","N","X","litter","49.5",""
"NWT","itex",2013,2013-07-31,1,7,"XNX","X","N","X","live","253",""
"NWT","itex",2013,2013-07-31,1,8,"XXW","X","X","W","litter","153.5",""
"NWT","itex",2013,2013-07-31,1,8,"XXW","X","X","W","live","237",""
"NWT","itex",2013,2013-07-31,1,9,"PNW","P","N","W","litter","246.75",""
"NWT","itex",2013,2013-07-31,1,9,"PNW","P","N","W","live","278.5",""
"NWT","itex",2013,2013-07-31,1,10,"PNX","P","N","X","litter","423.25",""
"NWT","itex",2013,2013-07-31,1,10,"PNX","P","N","X","live","137.25",""
"NWT","itex",2013,2013-07-31,1,11,"PXW","P","X","W","litter","151.25",""
"NWT","itex",2013,2013-07-31,1,11,"PXW","P","X","W","live","224.25",""
"NWT","itex",2013,2013-07-31,1,12,"PXX","P","X","X","litter","35.5",""
"NWT","itex",2013,2013-07-31,1,12,"PXX","P","X","X","live","187",""
"NWT","itex",2013,2013-07-31,1,13,"PNW","P","N","W","litter","152",""
"NWT","itex",2013,2013-07-31,1,13,"PNW","P","N","W","live","130.5",""
"NWT","itex",2013,2013-07-31,1,14,"PXW","P","X","W","litter","24",""
"NWT","itex",2013,2013-07-31,1,14,"PXW","P","X","W","live","137.5",""
"NWT","itex",2013,2013-07-31,1,15,"PNX","P","N","X","litter","495.25",""
"NWT","itex",2013,2013-07-31,1,15,"PNX","P","N","X","live","290",""
"NWT","itex",2013,2013-07-31,1,16,"PXX","P","X","X","litter","49.5",""
"NWT","itex",2013,2013-07-31,1,16,"PXX","P","X","X","live","278",""
"NWT","itex",2013,2013-08-05,2,17,"XNX","X","N","X","litter","131.25",""
"NWT","itex",2013,2013-08-05,2,17,"XNX","X","N","X","live","210",""
"NWT","itex",2013,2013-08-16,2,18,"XXW","X","X","W","litter","LOST",""
"NWT","itex",2013,2013-08-16,2,18,"XXW","X","X","W","live","LOST",""
"NWT","itex",2013,2013-08-05,2,19,"XNW","X","N","W","litter","148",""
"NWT","itex",2013,2013-08-05,2,19,"XNW","X","N","W","live","77.25",""
"NWT","itex",2013,2013-08-05,2,20,"XNX","X","N","X","litter","724.75",""
"NWT","itex",2013,2013-08-05,2,20,"XNX","X","N","X","live","192.25",""
"NWT","itex",2013,2013-08-05,2,21,"XXW","X","X","W","litter","11.75",""
"NWT","itex",2013,2013-08-05,2,21,"XXW","X","X","W","live","66.25",""
"NWT","itex",2013,2013-08-05,2,22,"XXX","X","X","X","litter","187",""
"NWT","itex",2013,2013-08-05,2,22,"XXX","X","X","X","live","306.25",""
"NWT","itex",2013,2013-08-05,2,23,"XNW","X","N","W","litter","166.25",""
"NWT","itex",2013,2013-08-05,2,23,"XNW","X","N","W","live","279.5",""
"NWT","itex",2013,2013-08-05,2,24,"XXX","X","X","X","litter","3.25",""
"NWT","itex",2013,2013-08-05,2,24,"XXX","X","X","X","live","118",""
"NWT","itex",2013,2013-08-05,2,25,"PNX","P","N","X","litter","186.25",""
"NWT","itex",2013,2013-08-05,2,25,"PNX","P","N","X","live","142",""
"NWT","itex",2013,2013-08-05,2,26,"PXX","P","X","X","litter","65.5",""
"NWT","itex",2013,2013-08-05,2,26,"PXX","P","X","X","live","125.75",""
"NWT","itex",2013,2013-08-05,2,27,"PNW","P","N","W","litter","418.5",""
"NWT","itex",2013,2013-08-05,2,27,"PNW","P","N","W","live","271.5",""
"NWT","itex",2013,2013-08-05,2,28,"PXW","P","X","W","litter","130.25",""
"NWT","itex",2013,2013-08-05,2,28,"PXW","P","X","W","live","183.75",""
"NWT","itex",2013,2013-08-05,2,29,"PXW","P","X","W","litter","46.25",""
"NWT","itex",2013,2013-08-05,2,29,"PXW","P","X","W","live","137.25",""
